N,Call_MC,Call_SE,Call_CI_lower,Call_CI_upper,Call_abs_err,Call_rel_err,Put_MC,Put_SE,Put_CI_lower,Put_CI_upper,Put_abs_err,Put_rel_err
1000,10.516569313860336,0.4729607076074488,9.589566326949736,11.443572300770935,0.06598574167477089,0.006314072436145408,5.321528002651554,0.25999245352244205,4.811942793747568,5.83111321155554,0.25199801960541635,0.04521339249141445
2000,10.896039474033872,0.337289281090664,10.234952483096171,11.557126464971573,0.4454559018483071,0.04262497866950672,5.155900756271644,0.18528234782066708,4.7927473545431365,5.519054158000152,0.41762526598532634,0.07493017244695865
3000,10.71903063661782,0.2734811171731064,10.183007646958531,11.255053626277109,0.2684470644322552,0.02568727981341945,5.247244404849781,0.15207949751693528,4.949168589716588,5.545320219982973,0.3262816174071901,0.05854132843450222
10000,10.450169921134655,0.1478128525176082,10.160456730200144,10.739883112069167,0.00041365105090918064,3.958162221774113e-05,5.601717175958083,0.08694511350982596,5.431304753478824,5.772129598437341,0.028191153701111915,0.00505804648413502
20000,10.530678798198256,0.10489458636302049,10.325085408926736,10.736272187469776,0.08009522601269126,0.007664186928839676,5.530763345649268,0.06109730093352569,5.411012635819557,5.650514055478978,0.04276267660770294,0.007672463793465239
30000,10.43273138461501,0.08488435664052031,10.26635804559959,10.59910472363043,0.01785218757055418,0.0017082479124006175,5.568030640052711,0.049888628670672355,5.470248927858193,5.665812352247229,0.005495382204260046,0.0009859794647616483
100000,10.473891960702577,0.04658930684614377,10.382576919284135,10.565207002121019,0.023308388517012446,0.0022303432488735065,5.574185640007579,0.027381530531150215,5.520517840166525,5.627853439848634,0.000659617750608632,0.00011834837551211848
200000,10.462392128395532,0.03288686726959707,10.397933868547122,10.526850388243941,0.011808556209967236,0.0011299422781897025,5.566778335419836,0.019356962749084394,5.52883868843163,5.604717982408042,0.006747686837134559,0.0012106675038725517
300000,10.451688822824437,0.026843747987940418,10.399075076768074,10.5043025688808,0.001105250638872235,0.00010575970530620716,5.57273106506955,0.01580460546030718,5.541754038367348,5.603708091771752,0.0007949571874208416,0.0001426309277549453
1000000,10.434157688982824,0.01469981324546768,10.405346055021706,10.462969322943941,0.016425883202741076,0.0015717670778174425,5.588557356206404,0.008667566410900591,5.571568926041039,5.605545786371769,0.015031333949433012,0.0026969164384283524
2000000,10.446679906539833,0.010408214979742647,10.426279805179538,10.467080007900128,0.0039036656457316354,0.00037353566131190214,5.585204374476254,0.006130308017717694,5.573188970761527,5.59721977819098,0.011678352219282928,0.0020953256829962445
3000000,10.448503440959598,0.008495787435585768,10.43185169758585,10.465155184333346,0.0020801312259663973,0.00019904450422297064,5.580993499691067,0.005003298182835971,5.571187035252708,5.590799964129425,0.007467477434095926,0.001339812069464782
10000000,10.450757320988727,0.004654199697942849,10.441635089580759,10.459879552396695,0.00017374880316189945,1.6625751276161776e-05,5.574929005720942,0.0027378716739950653,5.569562777239912,5.580295234201972,0.0014029834639712746,0.0002517227798647908
